variant,process,temp_c,vdd_v,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,tt,-40.0,3.6,0xFF,727.6642,326.369,59.722279456073366,tt_T-040C_V3p6_code0xFF.log
as-committed,tt,27.0,3.0,0xFF,480.3706,289.459,50.993584497134414,tt_T+027C_V3p0_code0xFF.log
as-committed,tt,27.0,3.3,0xFF,595.0516,330.384,56.705962008139565,tt_T+027C_V3p3_code0xFF.log
as-committed,tt,27.0,3.6,0xFF,722.0697,377.77,62.503535356218585,tt_T+027C_V3p6_code0xFF.log
as-committed,tt,85.0,3.0,0xFF,525.509,340.455,53.3261520781868,tt_T+085C_V3p0_code0xFF.log
as-committed,tt,85.0,3.3,0xFF,629.4051,382.917,58.67134629324702,tt_T+085C_V3p3_code0xFF.log
as-committed,tt,85.0,3.6,0xFF,743.1659,429.971,64.2846627723018,tt_T+085C_V3p6_code0xFF.log
as-committed,ff,-40.0,3.0,0xFF,638.9578,340.592,72.03227910491249,ff_T-040C_V3p0_code0xFF.log
as-committed,ff,-40.0,3.3,0xFF,801.7259,400.503,80.50398716122413,ff_T-040C_V3p3_code0xFF.log
as-committed,ff,-40.0,3.6,0xFF,979.8167,470.563,89.61529051932958,ff_T-040C_V3p6_code0xFF.log
as-committed,ff,27.0,3.0,0xFF,680.3476,415.081,75.79512879866236,ff_T+027C_V3p0_code0xFF.log
as-committed,ff,27.0,3.3,0xFF,819.8114,474.094,83.98481050717166,ff_T+027C_V3p3_code0xFF.log
as-committed,ff,27.0,3.6,0xFF,971.706,540.627,92.42793393990706,ff_T+027C_V3p6_code0xFF.log
as-committed,ff,85.0,3.0,0xFF,736.8245,490.646,82.79345103802288,ff_T+085C_V3p0_code0xFF.log
as-committed,ff,85.0,3.3,0xFF,866.6078,551.358,87.83390608359592,ff_T+085C_V3p3_code0xFF.log
as-committed,ff,85.0,3.6,0xFF,1002.958,614.874,94.51402777200192,ff_T+085C_V3p6_code0xFF.log
as-committed,ss,-40.0,3.0,0xFF,91.54118,179.383,31.873068691243994,ss_T-040C_V3p0_code0xFF.log
